wavelength, species, expot, loggf, type, filename
4246.81,  21.1,  +0.32,  +0.24, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc4246.moog
4314.08,  21.1,  +0.62,  -0.10, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc4314.moog
4324.98,  21.1,  +0.59,  -0.44, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sc4324.moog
4041.35,  25.0,  +2.11,  +0.28, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4041.moog
4033.06,  25.0,  +0.00,  -0.65, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Mn4033.moog
3961.52,  13.0,  +0.01,  -0.33, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Al3961.moog
3944.01,  13.0,  +0.00,  -0.64, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Al3944.moog
3905.52,  14.0,  +1.91,  -1.04, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Si3905.moog
4384.71,  23.0,  +0.29,  +0.41, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/V4384.moog
4379.23,  23.0,  +0.30,  +0.58, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/V4379.moog
4005.70,  23.1,  +1.82,  -0.45, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/V4005.moog
3951.96,  23.1,  +1.48,  -0.73, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/V3951.moog
3840.75,  23.0,  +0.04,  -0.16, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/V3840.moog
4020.90,  27.0,  +0.43,  -2.09, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Co4020.moog
4110.53,  27.0,  +1.05,  -1.23, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Co4110.moog
4118.77,  27.0,  +1.05,  -0.48, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Co4118.moog
4121.32,  27.0,  +0.92,  -0.33, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Co4121.moog
4077.71,  38.1,  +0.00,  +0.15, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sr4077.moog
4215.52,  38.1,  +0.00,  -0.17, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Sr4215.moog
4900.11,  39.1,  +1.03,  -0.09, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Y4900.moog
4883.68,  39.1,  +1.08,  +0.07, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Y4883.moog
4398.01,  39.1,  +0.13,  -1.00, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Y4398.moog
4208.98,  40.1,  +0.71,  -0.51, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Zr4208.moog
4554.03,  56.1,  +0.00,  +0.17, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Ba4554.moog
4934.08,  56.1,  +0.00,  -0.16, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Ba4934.moog
5853.67,  56.1,  +0.60,  -1.01, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Ba5853.moog
6141.71,  56.1,  +0.70,  -0.08, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Ba6141.moog
6496.90,  56.1,  +0.60,  -0.38, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Ba6496.moog
4086.71,  57.1,  +0.00,  -0.07, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/La4086.moog
4123.22,  57.1,  +0.32,  +0.13, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/La4123.moog
4333.75,  57.1,  +0.17,  -0.06, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/La4333.moog
4921.78,  57.1,  +0.24,  -0.45, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/La4921.moog
4077.97,  66.1,  +0.10,  -0.04, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Dy4077.moog
4103.31,  66.1,  +0.10,  -0.38, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Dy4103.moog
4129.72,  63.1,  +0.00,  +0.22, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Eu4129.moog
4205.04,  63.1,  +0.00,  +0.21, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/Eu4205.moog
3876.00, 607.0,   +nan,   +nan, syn, /Users/samanthausman/Documents/GitHub/LESSPayne25/LESSPayne/linelists/synthesis_lists/CN3876.moog
